date,symbol,name,open,high,low,close,prev_close,volume
2026-08-25,AASTHA,AASTHA SPINTEX LIMITED,73.02,75.0,73.0,73.05,73.01,312284
2026-08-25,AAVAS,AAVAS FINANCIERS LIMITED,1329.8,1334.9,1310.1,1313.2,1336.3,92050
2026-08-25,ABANSENT,ABANS ENTERPRISES LTD.,27.55,27.9,26.8,27.62,27.55,1769
2026-08-25,AFSL,ABANS FINANCIAL SRVCS LTD,201.96,202.66,201.0,201.0,201.01,6605
2026-08-25,ABB,ABB INDIA LIMITED,7510.0,7627.0,7435.0,7627.0,7504.0,178245
2026-08-25,ABBOTINDIA,ABBOTT INDIA LIMITED,26550.0,26560.0,26180.0,26415.0,26420.0,10984
2026-08-25,ACC,ACC LIMITED,1301.1,1310.0,1291.0,1305.9,1300.9,73952
2026-08-25,ACCELYA,ACCELYA SOLN INDIA LTD,1137.1,1142.7,1130.0,1134.8,1137.1,2637
2026-08-25,ACEINTEG,ACE INTEGRATED SOLU. LTD.,17.81,18.63,16.98,17.21,17.81,11753
2026-08-25,ACMESOLAR,ACME SOLAR HOLDINGS LTD,404.0,405.85,389.8,399.3,409.15,1881116
2026-08-25,ACE,ACTION CONST EQUIP LTD,1172.6,1179.0,1150.1,1154.8,1167.2,166212
2026-08-25,ACUTAAS,ACUTAAS CHEMICALS LIMITED,3189.9,3325.0,3138.0,3313.4,3173.0,409528
2026-08-25,ADANIENSOL,ADANI ENERGY SOLUTION LTD,1554.9,1594.5,1532.0,1594.5,1555.1,2043772
2026-08-25,ADANIENT,ADANI ENTERPRISES LIMITED,2998.0,3110.0,2962.5,3110.0,2998.6,2025912
2026-08-25,ADANIGREEN,ADANI GREEN ENERGY LTD,1294.8,1330.0,1294.8,1330.0,1308.0,2436191
2026-08-25,ADANIPORTS,ADANI PORT & SEZ LTD,1674.0,1702.7,1671.0,1702.7,1672.1,1300541
2026-08-25,ADANIPOWER,ADANI POWER LTD,203.06,206.8,201.43,206.33,203.7,14258939
2026-08-25,ATGL,ADANI TOTAL GAS LIMITED,639.6,644.95,635.45,640.25,639.6,483227
2026-08-25,ADDIND,ADDI INDUSTRIES LTD.,93.99,93.99,82.5,86.89,86.36,1138
2026-08-25,ADFFOODS,ADF FOODS LIMITED,272.6,283.25,268.2,276.7,272.6,161203
2026-08-25,ABSLAMC,ADIT BIRL SUN LIF AMC LTD,992.6,1007.0,992.6,1001.8,998.7,121089
2026-08-25,ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,412.2,414.5,405.3,410.85,412.9,3953527
2026-08-25,ABFRL,ADITYA BIRLA FASHION & RT,54.34,54.64,53.55,54.48,53.95,2967447
2026-08-25,ABLBL,ADITYA BIRLA LIFES BRAN L,85.15,86.0,84.95,85.44,85.13,358997
2026-08-25,BIRLAMONEY,ADITYA BIRLA MONEY LTD,127.95,128.19,125.18,127.3,126.31,23814
2026-08-25,ABREL,ADITYA BIRLA REAL EST LTD,1425.0,1434.4,1401.1,1408.0,1429.8,118346
2026-08-25,CPPLUS,ADITYA INFOTECH LIMITED,3434.8,3455.0,3330.1,3393.5,3419.5,219200
2026-08-25,AVL,ADITYA VISION LIMITED,585.0,587.0,573.0,574.9,588.5,178965
2026-08-25,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,141.35,141.95,140.82,141.41,141.38,2482465
2026-08-25,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,29.12,29.12,28.28,28.54,28.41,786598
2026-08-25,ADOR,ADOR WELDING LTD,1625.0,1625.0,1556.1,1580.4,1625.4,29717
2026-08-25,ADROITINFO,ADROIT INFOTECH LIMITED,10.79,10.79,10.01,10.1,10.33,10061
2026-08-25,ADVAIT,ADVAIT ENRGY TRANSITION L,2085.7,2085.7,2053.0,2061.6,2069.1,18526
2026-08-25,ADVANCE,ADVANCE AGROLIFE LIMITED,117.21,120.5,117.21,119.19,118.0,127445
2026-08-25,ADVENZYMES,ADVANCED ENZYME TECH LTD,302.35,304.9,296.1,299.75,302.35,215361
2026-08-25,ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,50.43,50.8,50.0,50.34,50.18,15503
2026-08-25,ADVENTHTL,ADVENT HOTELS INTERNATI L,131.97,145.0,131.1,141.83,131.0,1730034
